system:index,count_0,count_1,count_2,count_3,count_4,count_5,mean_0,mean_1,mean_2,mean_3,mean_4,mean_5,.geo
0000e7d508cf13641865,310536,192043,390,40675,318674,7406,0.13146329460900397,0.07121354883717529,0.0859565140084676,0.05145208782828102,0.10549990426342563,0.1708822944295112,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000db6f06aeebbbe36b,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000de75dc350ec91aff,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000068d2a6a0740325b8,372575,158416,2570,295933,637368,7068,0.006425968235256461,0.0580685862992624,0.16124879855727642,0.05031691318221969,0.16949285845816447,-0.21758278655645902,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f8164665ed3c7120,211253,103012,203,583085,327626,2058,-0.10983164531569972,-0.05117419332709868,-0.03215437742580403,-0.08152342058337887,0.011202894067412815,-0.06480318804629882,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e96512556bb0f6f1,198662,176671,2147,36219,192523,1955,0.06880040965813687,0.11205575996201243,0.1246828532769458,0.029089420929942978,0.14405115298194088,0.09822773196264908,"{""type"":""MultiPoint"",""coordinates"":[]}"
000093a418d4d936ab96,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000eaee8c4fdd510c45,178113,141089,2088,49969,274372,3270,0.20766643474291085,0.2619488967866331,0.20184202820554023,0.17058674592863524,0.23181109331741734,0.10938050756284258,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000234449ae03ce685,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000087785abc66e02493,807685,548299,4153,36232,1251089,676,0.6708420035473814,0.7860452393798408,0.8142969890466746,0.5999314963622611,0.8996047696709579,1.0264625973544155,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e871dae88faf7c13,320915,181034,4403,83281,214126,1517,0.30995230490602504,0.2969087460695972,0.12077340505522627,0.3073607673415252,0.3506028634695118,0.5058097261010367,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a5cfac5e010c28d5,9738958,7105039,1350452,3410136,20540979,126320,0.5557530146500064,0.6999378396082635,0.946549179340435,0.49545460011126313,0.8236220020355213,0.48992046764633834,"{""type"":""MultiPoint"",""coordinates"":[]}"
000043782f9432051c7c,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000071c8aa8a682f12b7,2144778,919303,160539,2061435,3313217,14156,0.9483679683802684,1.2377792132274676,1.3614055436533967,0.8859467552129817,1.309761974130384,1.1372668494791012,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001649b8d11674e9b0,77415,43822,286,46051,361450,100,0.2266763560934686,0.2363921602402691,0.3215373411895,0.16190248765191273,0.25224061063453534,0.139964531612069,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d0c3995cd1ce77c7,132260,59859,1205,63985,288915,414,0.16322310007185625,0.20052741152085848,0.37064027520437254,0.0882415150937888,0.1714518573841764,0.22258155121076129,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c9f51960c04e0d94,9764,35,6,4394,26,,0.0024956376247947725,-0.018094064354946024,0.9384982252206164,-0.004575831236353808,-0.0802658335259535,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000059cfd2515590c4dd,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001c07097e8fbc34de,132240,102018,2571,7551,247017,1597,0.2772058520522867,0.3411578878358535,0.3296173201818904,0.06418035218370684,0.3010762319455269,0.18154280037868098,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d01eefd588afe4e9,768671,504505,67425,57908,1020805,2275,0.3595050775001905,0.378842364374616,0.4553921502644363,0.24859872617941786,0.31770146286001655,0.39881511250554075,"{""type"":""MultiPoint"",""coordinates"":[]}"
000062e57a55d80feafa,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000010b1ed6d701e0f72,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c391cfc23a7e81b3,454053,211142,709,114609,732203,141,0.33857101759592134,0.4339166023952205,0.33926522839074863,0.3623345844002866,0.44801938155222426,0.3966762611044342,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d1dc4c0b948cf95f,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00006d7ad0cd56795030,250829,82073,758,41205,398717,37,0.2654565883826831,0.4407983653875694,0.2360957065412447,0.019824341025793356,0.4024056631530119,0.33263268430961873,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000d52c836fa7445b5,160204,97808,978,38612,286490,7,0.7567030441091126,1.0003069170240815,0.9470512122383594,0.5320231555095577,0.9556694231497617,1.060699359495049,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f7863c6747a042c7,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b7953657071e634e,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000dd52c44c3d25f2a,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000089bb2b119c305e2f,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000fac3f85f099efe6d,3631913,4427575,14903,732053,11597189,26314,0.5167680898557737,0.7527982935363562,0.4969801452867023,0.3389292271867847,0.7958516330570671,0.4558307866111516,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d5c3d6ed495fbd85,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000069776389886f157,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00007f3bcc8cbadd0136,353782,366358,22978,48036,255590,501,0.13981689528626656,0.06351895529197762,0.6089242317868977,0.4584850470392104,0.6105619889780544,0.14703396166973323,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e850e5fb92b53a0b,359492,279728,41,199929,725396,671,0.3927009589655252,0.4831577245256425,0.6388611829996221,0.6266625195103706,0.5111781512752422,0.4004584185019708,"{""type"":""MultiPoint"",""coordinates"":[]}"
00004c7d64c5101a5d25,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00003607c57ab361d242,122779,91058,174,52728,155811,317,0.3284162910695708,0.40845780782953967,0.5105211982649203,0.4240183808280538,0.3308323484351922,0.5721209284188457,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000679d000228078635,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000071909ffdc190579b,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000515ac0263eea669c,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000059e5b132da3e606e,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000016d08bcc862d599e,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000809327fe3cc27a69,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000fa03dd94d69d47a,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000f345aa1f45251e06,538904,479506,9,190707,995763,4473,0.508020366923513,0.8293940236393345,0.5846848341264435,0.5239299965516535,0.8817209414273766,0.4856313635496711,"{""type"":""MultiPoint"",""coordinates"":[]}"
00007497fcc587fe6eb6,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00001f682e567246ba4a,311165,270261,1059,196406,557113,1357,0.27800032141167985,0.48269111183070873,0.24214752639851847,0.2129699393794358,0.42791332015003786,0.17707003770180862,"{""type"":""MultiPoint"",""coordinates"":[]}"
000081b16beabdb11116,76213,98646,1444,80957,138167,3,0.20622842968898264,0.37369188073192744,0.4956375883771178,0.21808427460689842,0.41857105337366923,-0.11581722866895916,"{""type"":""MultiPoint"",""coordinates"":[]}"
00005aef097cb956e9fa,168395,138973,4408,2425,382675,258,0.8514184415978948,0.7879004140072362,0.8395255634560567,0.8798695894505781,0.9010462990740173,0.7670987879157446,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e542a604a5a06bb2,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000073765aed02dccf1e,2182775,1830075,54000,747870,3121593,14015,0.27426631263824314,0.41068130604432945,0.564317485380258,0.16005665010054293,0.417227719733438,0.5152641919638467,"{""type"":""MultiPoint"",""coordinates"":[]}"
00009c1a8bbd0c2c5011,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00007422f599a1352838,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000006f87beafb48fa39,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00005affd013d39e23c7,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00008a80a1eeab7ebdee,172655,135567,659,90942,262340,1102,0.4010864028469728,0.3540658371901383,0.5799351410216298,0.42067622879734423,0.4731194785428676,0.20185900369906143,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c2febf54314897fe,374582,344151,375,76408,1044717,5787,0.629276724001165,0.7433302153624467,1.0010177498022448,0.38450187068406266,0.7894882060727803,0.37700721250342484,"{""type"":""MultiPoint"",""coordinates"":[]}"
00004a9955e5cee1d3dc,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00007c0e8cf4537bff5f,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000018097bee7303907d,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00006f29d261bbd06075,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000203324bd4c6d7a5c,1767,1649,40,106,38,0,0.3494612079138051,0.3494612079138051,0.3494612079138051,0.3494612079138051,0.3494612079138051,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00005f2633a39675bdd4,543632,1150144,502,66052,876506,62525,0.3345853156132978,0.4266838908888459,0.2991782943586022,0.26667140584053856,0.41890216776400774,0.19863177478448785,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000cc2db9e50a64072d,1219316,1082583,379,171925,1158097,41987,0.3472885829463552,0.43494504184738625,0.5095937887475994,0.1057138359114989,0.4187657268698291,0.26073648978160696,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000cddc644c8ba5e01e,202794,206258,2,41668,253899,8303,0.4885438358352816,0.5290741310460076,0.6990058473109677,0.4971350506178424,0.5842176201517972,0.47238157923869795,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e111811f5dc8a724,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000041e30c91071f1b9a,141041,105854,0,52979,172651,115,0.3863449331762784,0.4933574456957017,,0.3957676678357099,0.44387080851751043,0.3976288627612736,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e8ab98d35765e910,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00005340afaf0ea1d7e5,712762,767870,9107,242753,1383908,32614,0.3847987822422961,0.5665767698831007,0.7358722101537996,0.3224455895063462,0.6670038085603213,0.2275371420366488,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e5e70846a20b2dae,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00008b6b48f769d578dd,1175641,1775025,63093,96439,3685044,30648,0.1682488781628117,0.23718325551780178,0.06466909412948371,0.14260612602129022,0.19838610319949448,0.16667560650964797,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d23471030491f293,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000316a60a8c0339ef2,0,0,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000044fcb5db2f3180d5,117864,105861,1267,86313,229596,6203,0.5245116783681844,0.6484050335232308,-0.17268005904770226,0.3678374325766343,0.6863006177047112,0.34144958523056346,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000515c4767ac10b3,102382,79904,136,213122,226505,2242,0.5128350078635475,0.6413841525394514,0.6517518835090165,0.46531885973824616,0.7520544656523694,0.4693536800129233,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000c52a5ed660dcef06,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00009ae49f7a37869d6d,69835,38100,41,30614,112802,45,0.14914429633130422,0.11852588166840708,0.04869010074715493,0.23246497816976117,0.21825295157064856,0.16626512283436926,"{""type"":""MultiPoint"",""coordinates"":[]}"
00008960f6f7cc1a2bb7,25594,28643,122,10964,56678,1009,-0.006863300037540195,0.1473679441598093,-0.0236468505866482,-0.020626819449657573,0.14024783912541425,-0.0775133094320325,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000b44ae9db68bfaed4,7645,13624,1,3639,44759,0,-0.1125941368422055,-0.06861219671256337,-0.25553278750158626,-0.21070905927541855,-0.13444409029760174,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000124abb8a99b49e1d,134778,120729,13803,65133,266551,239,0.3172041075288978,0.3791887530379274,0.4348468384689503,0.20922543426517823,0.34950531385064554,-0.04293180596560801,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000796489dc1d7b218b,279713,98028,341,192364,194164,2446,0.33691299913518535,0.5421982850109816,0.7618473355095304,0.2403791689417912,0.5268125074572247,-0.2649051881773068,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000626871afc60c97df,523844,331078,2,208516,475092,16830,0.5016716209684959,0.7035535161342522,0.8454385532642839,0.6557112429697585,0.8036757074311792,0.3348583905403815,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ffc028ad87dbeb90,104873,169375,0,58902,158385,2016,0.28781552382355413,0.40758982668961563,,-0.019342874816915344,0.5479877106148698,0.24701069930695765,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000cffe86b86820b52e,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000bf4d936ea7ff000e,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e0d7c8157bb39629,687175,755675,0,167189,667125,50764,0.31742280321745703,0.3588341212483,,0.42730922483785033,0.3101575192779175,0.47665570055999157,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000e5299b4ce30f0e80,714543,2001336,123,58402,811481,143522,0.7468410045295713,0.9252938963624613,-0.023566852575255582,0.18296747400580865,0.9274834670070726,0.5733137200975865,"{""type"":""MultiPoint"",""coordinates"":[]}"
00009c148d4d8366d672,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
00003e4c5456d93215b8,273515,520537,0,15600,400582,31656,0.30039963297349054,0.45891870644119037,,0.10513204434273414,0.6474033190153264,0.2772274603482605,"{""type"":""MultiPoint"",""coordinates"":[]}"
00002b87fb64e8f2c82a,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000029dab2ac4d5284d6,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000705be44474f9c7b2,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000404ac48f24db86db,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000d40194cfa033d316,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
000045541958e7909422,415960,326619,16,107978,518366,11697,0.37479633658855016,0.5147860967714794,-0.008894191567740961,0.3904112678403795,0.5868559189772133,0.15298466958185056,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000ed273772085daed1,,,,,,,,,,,,,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000a7e14bae381673c9,75068,59627,1,59752,115880,1536,0.3480923385440547,0.5048669602002861,0.3985252112972191,0.30624788692238664,0.4076802045304167,0.12287493481019851,"{""type"":""MultiPoint"",""coordinates"":[]}"
